event-id,visible,timestamp,long,lat,location-error-text,sensor-type,individual-taxon-canonical-name,swallow_id,individual-local-identifier,study-name
2549644647,TRUE,48:21.0,-49.9,-15.3,-18.45:-50.18:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644648,TRUE,11:24.0,-49.9,-15.3,-18.45:-50.29:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644649,TRUE,07:41.0,-49.91,-15.3,-21.15:-50.83:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644650,TRUE,44:54.0,-49.91,-14.85,-21.15:-50.83:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644651,TRUE,11:21.0,-49.91,-15.3,-21.15:-50.83:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644652,TRUE,47:37.0,-49.91,-15.3,-21.15:-50.83:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644653,TRUE,11:24.0,-49.91,-15.3,-21.15:-50.83:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644654,TRUE,45:15.0,-49.92,-14.85,-21.15:-50.89:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644655,TRUE,10:09.0,-49.99,-14.85,-22.05:-50.89:-10.8:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644656,TRUE,44:28.0,-49.99,-14.85,-22.05:-50.89:-9.45:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644657,TRUE,10:09.0,-49.99,-14.4,-22.05:-50.9:-9.45:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644658,TRUE,52:11.0,-49.99,-14.4,-22.5:-50.9:-9.45:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644659,TRUE,11:24.0,-49.99,-14.4,-22.5:-50.9:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644660,TRUE,45:07.0,-49.99,-14.4,-22.5:-50.9:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644661,TRUE,11:21.0,-50.03,-13.95,-22.5:-50.9:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644662,TRUE,46:29.0,-50.03,-14.4,-22.5:-50.96:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644663,TRUE,15:09.0,-50.05,-14.4,-22.5:-50.96:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644664,TRUE,42:44.0,-50.17,-14.4,-22.5:-50.96:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644665,TRUE,04:32.0,-50.17,-14.4,-22.5:-50.96:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644666,TRUE,41:32.0,-50.19,-13.95,-22.5:-51.03:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644667,TRUE,09:32.0,-50.33,-13.5,-22.5:-51.76:-9:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644668,TRUE,47:11.0,-50.41,-13.5,-22.05:-51.23:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644669,TRUE,08:25.0,-50.39,-13.5,-22.05:-51.23:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644670,TRUE,43:44.0,-50.39,-13.5,-22.05:-51.23:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644671,TRUE,12:04.0,-50.39,-13.5,-22.05:-51.23:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644672,TRUE,39:20.0,-50.31,-13.5,-22.05:-51.23:-7.65:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644673,TRUE,10:09.0,-50.25,-13.05,-21.15:-51.03:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644674,TRUE,39:11.0,-50.25,-11.7,-21.15:-51.03:-9.45:-49.8,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644675,TRUE,10:09.0,-50.25,-11.25,-21.15:-51.03:-9.45:-49.82,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644676,TRUE,40:37.0,-50.25,-10.8,-20.7:-50.9:-9.45:-49.88,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644677,TRUE,10:09.0,-50.25,-9.9,-20.7:-50.9:-9.45:-49.85,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644678,TRUE,41:29.0,-50.25,-9.9,-19.35:-50.9:-9.45:-49.88,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644679,TRUE,11:51.0,-50.25,-9.9,-18.9:-50.9:-9.45:-49.88,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644680,TRUE,29:49.0,-50.25,-9.9,-18.9:-50.9:-9.45:-49.85,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644681,TRUE,10:42.0,-50.25,-9.9,-17.1:-50.9:-9.45:-49.99,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
